Taxon_Group,Taxon_orig,Taxon_v2,Changed,Rationale,NonTarget,OTU_MTTI,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Glossiphonia elegans,Glossiphonia,yes,,FALSE,Hirudinida,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Other Non-Insect,Glossiphonia complanata,Glossiphonia,yes,,FALSE,Hirudinida,Glossiphonia,69380,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Glossiphoniinae,,,Glossiphonia,,,,,
Other Non-Insect,Helobdella stagnalis complex,Helobdella,yes,,FALSE,Hirudinida,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella triserialis,Helobdella,yes,,FALSE,Hirudinida,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella papillata,Helobdella,yes,,FALSE,Hirudinida,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella,Helobdella,no,,FALSE,Hirudinida,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Helobdella stagnalis,Helobdella,yes,,FALSE,Hirudinida,Helobdella,69396,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,Haementeriinae,,,Helobdella,,,,,
Other Non-Insect,Theromyzon,Glossiphoniidae,yes,,FALSE,Hirudinida,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Other Non-Insect,Glossiphoniidae,Glossiphoniidae,no,,FALSE,Hirudinida,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
Other Non-Insect,Placobdella,Glossiphoniidae,yes,,FALSE,Hirudinida,Glossiphoniidae,69357,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Glossiphoniidae,,,,,,,,,
