SPECIES,TYPE,PTOLR,NATIVE,TROPHIC,SILT,PIRHALLA,DATE ADDED,REASON,SOURCE,FAM,GENUS,SP_SCI,IN_KEY,APPROX_ID
MIMIC SHINER,SHINER,I,N,IV,N,,2017-10-18,NEW OCCURRENCE,JENKINS AND BURKHEAD,Cyprinidae,Notropis,volucellus,TRUE,FALSE
MOTTLED SCULPIN,SCULPIN,I,N,IS,Y,3.49,,,,Cottidae,Cottus,bairdii,TRUE,FALSE
MUD SUNFISH,SUNFISH,NOTYPE,N,IV,N,,,,,Centrarchidae,Acantharcus,pomotis,TRUE,FALSE
MUMMICHOG,NOTYPE,NOTYPE,N,IV,N,0.14,,,,Fundulidae,Fundulus,heteroclitus,TRUE,FALSE
MUSKELLUNGE,,,,,,0,,,,Esocidae,Esox,masquinongy,TRUE,FALSE
NOCOMIS SP.,OTHRCYPR,I,NOTYPE,OM,Y,,2017-10-18,NEW OCCURRENCE,,Cyprinidae,Nocomis,.,FALSE,TRUE
NORTHERN HOGSUCKER,SUCKER,I,N,IV,Y,3.81,,,,Catostomidae,Hypentelium,nigricans,TRUE,FALSE
NORTHERN PIKE,NOTYPE,NOTYPE,IC,TP,N,,,,,Esocidae,Esox,lucius,TRUE,FALSE
NORTHERN SNAKEHEAD,NOTYPE,NOTYPE,IC,TP,N,,,NEW OCCURRENCE,,Channidae,Channa,spp.,TRUE,FALSE
NOTROPIS SP.,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,NEW OCCURRENCE,,Cyprinidae,Notropis,.,FALSE,TRUE
ORIENTAL WEATHERFISH,NOTYPE,NOTYPE,I,NOTYPE,NOTYPE,,,NEW OCCURRENCE,,Cobitidae,Misgurnus,anguillicaudatus,FALSE,FALSE
PEARL DACE,OTHRCYPR,NOTYPE,N,IV,Y,,,,,Cyprinidae,Margariscus,margarita,TRUE,FALSE
PIRATE PERCH,NOTYPE,T,N,IV,N,-0.86,,,,Aphredoderidae,Aphredoderus,sayanus,TRUE,FALSE
POTOMAC SCULPIN,SCULPIN,NOTYPE,N,IS,Y,2.35,,,,Cottidae,Cottus,girardi,TRUE,FALSE
PUMPKINSEED,SUNFISH,T,IY,IV,N,-0.37,,,,Centrarchidae,Lepomis,gibbosus,TRUE,FALSE
QUILLBACK,SUCKER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Catostomidae,Carpiodes,cyprinus,TRUE,FALSE
RAINBOW DARTER,DARTER,NOTYPE,N,IS,Y,,,,,Percidae,Etheostoma,caeruleum,TRUE,FALSE
RAINBOW TROUT,NOTYPE,NOTYPE,I,TP,Y,3.69,,,,Salmonidae,Oncorhynchus,mykiss,TRUE,FALSE
RAINWATER KILLIFISH,NOTYPE,NOTYPE,N,IV,N,,,,,Fundulidae,Luciana,parva,TRUE,FALSE
REDBREAST SUNFISH,SUNFISH,NOTYPE,IY,GE,N,2.11,,,,Centrarchidae,Lepomis,auritus,TRUE,FALSE
REDEAR SUNFISH,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Lepomis,microlophus,TRUE,FALSE
REDFIN PICKEREL,NOTYPE,T,IY,TP,N,-1.61,,,,Esocidae,Esox,americanus,TRUE,FALSE
REDSIDE DACE,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Clinostomus,elongatus,TRUE,FALSE
RIVER CHUB,OTHRCYPR,I,N,OM,Y,3.89,,,,Cyprinidae,Nocomis,micropogon,TRUE,FALSE
ROCK BASS,SUNFISH,NOTYPE,IC,GE,Y,3.06,,,,Centrarchidae,Amblopites,rupestris,TRUE,FALSE
ROSYFACE SHINER,SHINER,NOTYPE,N,IV,Y,3.93,,,,Cyprinidae,Notropis,rubellus,TRUE,FALSE
ROSYSIDE DACE,OTHRCYPR,NOTYPE,N,IV,Y,3.04,,,,Cyprinidae,Clinostomus,elongatus,TRUE,FALSE
ROUGH SILVERSIDE,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Atherinidae,Membras,martinica,TRUE,FALSE
SATINFIN SHINER,SHINER,I,N,IV,N,2.98,,,,Cyprinidae,Cyprinella,analostana,TRUE,FALSE
SCULPIN (UNKNOWN),SCULPIN,NOTYPE,N,IS,Y,,,,,Cottidae,Cottus,.,FALSE,TRUE
SEA LAMPREY,LAMPREY,I,N,FF,N,2.83,,,,Petromyzontidae,Petromyzon,marinus,TRUE,FALSE
SHIELD DARTER,DARTER,I,N,IS,Y,2.97,,,,Percidae,Percina,peltata,TRUE,FALSE
SHORTHEAD REDHORSE,SUCKER,NOTYPE,N,OM,Y,,,,,Catostomidae,Moxostoma,macrolepidotum,TRUE,FALSE
SILVER SHINER,SHINER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Notropis,photogenis,FALSE,FALSE
SILVERJAW MINNOW,OTHRCYPR,NOTYPE,N,OM,Y,3.88,,,,Cyprinidae,Notropis,buccatus,TRUE,FALSE
SLIMY SCULPIN,SCULPIN,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cottidae,Cottus,cognatus,FALSE,FALSE
SMALLMOUTH BASS,NOTYPE,NOTYPE,IC,TP,N,3.77,,,,Centrarchidae,Micropterus,dolomieu,TRUE,FALSE
SPOT,NOTYPE,NOTYPE,N,IV,N,,,,,Sciaenidae,Leiostomus,xanthurus,FALSE,FALSE
SPOTFIN SHINER,SHINER,I,N,IV,N,3.38,,,,Cyprinidae,Cyprinella,spiloptera,TRUE,FALSE
SPOTTAIL SHINER,SHINER,I,N,OM,Y,3.46,,,,Cyprinidae,Notropis,hudsonius,TRUE,FALSE
STONECAT,MADTOM,NOTYPE,N,IV,N,,,,,Ictaluridae,Noturus,flavus,TRUE,FALSE
STRIPEBACK DARTER,DARTER,NOTYPE,N,IV,N,,,,,Percidae,Percina,notogramma,TRUE,FALSE
STRIPED BASS,NOTYPE,NOTYPE,N,TP,N,,,,,Moronidae,Morone,saxatilis,TRUE,FALSE
STRIPED DARTER,DARTER,NOTYPE,NOTYPE,IV,NOTYPE,,,,,Percidae,Etheostoma,virgatum,FALSE,FALSE
STRIPED KILLIFISH,NOTYPE,NOTYPE,N,IV,N,,,,,Fundulidae,Fundulus,majalis,TRUE,FALSE
STRIPED SHINER,SHINER,I,N,OM,Y,,,,,Cyprinidae,Luxilus,chrysocephalus,TRUE,FALSE
SUNFISH (HYBRID),SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Lepomis,.,FALSE,TRUE
SUNFISH (UNKNOWN),SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Centrarchidae,Lepomis,.,FALSE,TRUE
SWALLOWTAIL SHINER,SHINER,NOTYPE,N,IV,Y,2,,,,Cyprinidae,Notropis,procne,TRUE,FALSE
SWAMP DARTER,DARTER,I,N,IV,N,-0.92,,,,Percidae,Etheostoma,fusiforme,TRUE,FALSE
TADPOLE MADTOM,MADTOM,NOTYPE,N,IV,N,-0.32,,,,Ictaluridae,Noturus,gyrinus,TRUE,FALSE
TENCH,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Cyprinidae,Tinca,tinca,TRUE,FALSE
TESSELLATED DARTER,DARTER,T,N,IV,N,1.8,,,,Percidae,Etheostoma,olmstedi,TRUE,FALSE
THREADFIN SHAD,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Clupeidae,Dorosoma,petenense,TRUE,FALSE
THREESPINE STICKLEBACK,,,,,,0,,,,Gasterosteidae,Gasterosteus,aculeatus,TRUE,FALSE
TIGER MUSKELLUNGE,NOTYPE,NOTYPE,I,TP,N,,2017-10-18,NEW OCCURRENCE,,Esocidae,Esox,masquinongy x lucius,FALSE,FALSE
TIGER TROUT,NOTYPE,NOTYPE,I,GE,Y,,2017-10-18,NEW OCCURRENCE,,Salmonidae,.,Salmo trutta × Salvelinus fontinalis,FALSE,FALSE
VARIEGATE DARTER,DARTER,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,,,,Percidae,Etheostoma,variatum,FALSE,FALSE
WALLEYE,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,Percidae,Sander,vitreus,TRUE,FALSE
WARMOUTH,SUNFISH,NOTYPE,N,GE,N,,,,,Centrarchidae,Lepomis,gulosus,TRUE,FALSE
WESTERN MOSQUITOFISH,,,,,,,2018-05-01,PREVIOUSLY EXCLUDED FROM LIST; REQUIRES ATTRIBUTES,,,,,TRUE,FALSE
WHITE CATFISH,NOTYPE,NOTYPE,IY,OM,N,,,,,Ictaluridae,Ameiurus,catus,TRUE,FALSE
WHITE CRAPPIE,SUNFISH,NOTYPE,IC,GE,N,,,,,Centrarchidae,Pomoxis,annularis,TRUE,FALSE
WHITE PERCH,NOTYPE,NOTYPE,N,IV,N,,,,,Moronidae,Morone,americana,TRUE,FALSE
WHITE SUCKER,SUCKER,T,N,OM,Y,2.89,,,,Catostomidae,Catostomus,commersoni,TRUE,FALSE
YELLOW BULLHEAD,NOTYPE,NOTYPE,N,OM,N,1.62,,,,Ictaluridae,Ameiurus,natalis,TRUE,FALSE
YELLOW PERCH,NOTYPE,NOTYPE,IY,GE,N,1.65,,,,Percidae,Perca,flavescens,TRUE,FALSE
ENNEACANTHUS SP.,SUNFISH,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2019-03-13,PREVIOUSLY EXCLUDED FROM LIST,,Centrarchidae,Enneacanthus,,FALSE,TRUE
NOTROPIS HYBRID,OTHRCYPR,NOTYPE,NOTYPE,NOTYPE,NOTYPE,,2019-04-16,PREVIOUSLY EXCLUDED FROM LIST,,Cyprinidae,Notropis,.,FALSE,FALSE
