estuary	CommonName	LifeStage	SalZone	Winter	Spring	Summer	Fall	All	TaxaName	State	Latitude	Longitude	Count	PctDensity
BOSTON HARBOR	BLUE MUSSEL	ADULTS	>25 ppt	5	5	5	5	5	"BLUE MUSSEL, ADULTS, >25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	BLUEBACK HERRING	ADULTS	0.5-25 ppt	0	1.666666667	3	0.666666667	1.333333333	"BLUEBACK HERRING, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.333333333	0.001821908
BOSTON HARBOR	BLUEBACK HERRING	ADULTS	>25 ppt	0	1.666666667	3	2	1.666666667	"BLUEBACK HERRING, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.666666667	0.002277386
BOSTON HARBOR	BLUEFISH	ADULTS	0.5-25 ppt	0	0.666666667	3	2	1.416666667	"BLUEFISH, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.416666667	0.001935778
BOSTON HARBOR	BLUEFISH	ADULTS	>25 ppt	0	0.666666667	3	2	1.416666667	"BLUEFISH, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.416666667	0.001935778
BOSTON HARBOR	BUTTERFISH	ADULTS	0.5-25 ppt	0	0	2	1.333333333	0.833333333	"BUTTERFISH, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0.833333333	0.001138693
BOSTON HARBOR	BUTTERFISH	ADULTS	>25 ppt	0	0	2	1.333333333	0.833333333	"BUTTERFISH, ADULTS, >25 ppt"	MA	42.335	-70.9815	0.833333333	0.001138693
BOSTON HARBOR	CUNNER	ADULTS	0.5-25 ppt	0	2	3	2	1.75	"CUNNER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.75	0.002391255
BOSTON HARBOR	CUNNER	ADULTS	>25 ppt	3	3.333333333	4	3	3.333333333	"CUNNER, ADULTS, >25 ppt"	MA	42.335	-70.9815	3.333333333	0.004554771
BOSTON HARBOR	DAGGERBLADE GRASS SHRIMP	ADULTS	0.5-25 ppt	2	2.333333333	3	2.666666667	2.5	"DAGGERBLADE GRASS SHRIMP, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2.5	0.003416078
BOSTON HARBOR	DAGGERBLADE GRASS SHRIMP	ADULTS	>25 ppt	2	2.333333333	3	2.666666667	2.5	"DAGGERBLADE GRASS SHRIMP, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.5	0.003416078
BOSTON HARBOR	EASTERN OYSTER	ADULTS	0.5-25 ppt	0	0	0	0	0	"EASTERN OYSTER, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	EASTERN OYSTER	ADULTS	>25 ppt	0	0	0	0	0	"EASTERN OYSTER, ADULTS, >25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	FOURSPINE STICKLEBACK	ADULTS	0.5-25 ppt	3	3	3	3	3	"FOURSPINE STICKLEBACK, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	FOURSPINE STICKLEBACK	ADULTS	>25 ppt	3	2.666666667	2.666666667	3	2.833333333	"FOURSPINE STICKLEBACK, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.833333333	0.003871555
BOSTON HARBOR	GREEN CRAB	ADULTS	0.5-25 ppt	4	5	5	5	4.75	"GREEN CRAB, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	4.75	0.006490549
BOSTON HARBOR	GREEN CRAB	ADULTS	>25 ppt	3	4	4	4	3.75	"GREEN CRAB, ADULTS, >25 ppt"	MA	42.335	-70.9815	3.75	0.005124118
BOSTON HARBOR	GREEN SEA URCHIN	ADULTS	0.5-25 ppt	0	0	0	0	0	"GREEN SEA URCHIN, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	GREEN SEA URCHIN	ADULTS	>25 ppt	3	3	3	3	3	"GREEN SEA URCHIN, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	GRUBBY	ADULTS	0.5-25 ppt	2	2	2	2	2	"GRUBBY, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	GRUBBY	ADULTS	>25 ppt	2	2	2	2	2	"GRUBBY, ADULTS, >25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	HADDOCK	ADULTS	0.5-25 ppt	0	0	0	0	0	"HADDOCK, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	HADDOCK	ADULTS	>25 ppt	2	2	0	0	1	"HADDOCK, ADULTS, >25 ppt"	MA	42.335	-70.9815	1	0.001366431
BOSTON HARBOR	JONAH CRAB	ADULTS	0.5-25 ppt	2	2	2	2	2	"JONAH CRAB, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	JONAH CRAB	ADULTS	>25 ppt	3	3	3	3	3	"JONAH CRAB, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	LONGHORN SCULPIN	ADULTS	0.5-25 ppt	2	2	0	1.333333333	1.333333333	"LONGHORN SCULPIN, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.333333333	0.001821908
BOSTON HARBOR	LONGHORN SCULPIN	ADULTS	>25 ppt	3	3	2.333333333	3	2.833333333	"LONGHORN SCULPIN, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.833333333	0.003871555
BOSTON HARBOR	MUMMICHOG	ADULTS	0.5-25 ppt	5	5	5	5	5	"MUMMICHOG, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	MUMMICHOG	ADULTS	>25 ppt	3	3	3	3	3	"MUMMICHOG, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	NINESPINE STICKLEBACK	ADULTS	0.5-25 ppt	2	2	2	2	2	"NINESPINE STICKLEBACK, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	NINESPINE STICKLEBACK	ADULTS	>25 ppt	2	2	2	2	2	"NINESPINE STICKLEBACK, ADULTS, >25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	NORTHERN PIPEFISH	ADULTS	0.5-25 ppt	0	3	3	3	2.25	"NORTHERN PIPEFISH, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2.25	0.003074471
BOSTON HARBOR	NORTHERN PIPEFISH	ADULTS	>25 ppt	2	3	3	3	2.75	"NORTHERN PIPEFISH, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.75	0.003757686
BOSTON HARBOR	NORTHERN SEAROBIN	ADULTS	0.5-25 ppt	0	0.666666667	2	2	1.166666667	"NORTHERN SEAROBIN, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	NORTHERN SEAROBIN	ADULTS	>25 ppt	0	0.666666667	2	2	1.166666667	"NORTHERN SEAROBIN, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.166666667	0.00159417
BOSTON HARBOR	NORTHERN SHRIMP	ADULTS	0.5-25 ppt	0	0	0	0	0	"NORTHERN SHRIMP, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	NORTHERN SHRIMP	ADULTS	>25 ppt	3	2	0	1	1.5	"NORTHERN SHRIMP, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.5	0.002049647
BOSTON HARBOR	OCEAN POUT	ADULTS	0.5-25 ppt	0	0	0	0	0	"OCEAN POUT, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	OCEAN POUT	ADULTS	>25 ppt	3	3	2.333333333	2.333333333	2.666666667	"OCEAN POUT, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.666666667	0.003643817
BOSTON HARBOR	POLLOCK	ADULTS	0.5-25 ppt	0	0	0	0	0	"POLLOCK, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	POLLOCK	ADULTS	>25 ppt	2	2	0	2	1.5	"POLLOCK, ADULTS, >25 ppt"	MA	42.335	-70.9815	1.5	0.002049647
BOSTON HARBOR	QUAHOG	ADULTS	0.5-25 ppt	3	3	3	3	3	"QUAHOG, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	QUAHOG	ADULTS	>25 ppt	3	3	3	3	3	"QUAHOG, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	RAINBOW SMELT	ADULTS	0.5-25 ppt	3	3	1	2	2.25	"RAINBOW SMELT, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2.25	0.003074471
BOSTON HARBOR	RAINBOW SMELT	ADULTS	>25 ppt	3	3	2.333333333	2.666666667	2.75	"RAINBOW SMELT, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.75	0.003757686
BOSTON HARBOR	RED HAKE	ADULTS	0.5-25 ppt	0.666666667	1.333333333	3	3	2	"RED HAKE, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	RED HAKE	ADULTS	>25 ppt	2	2.666666667	3	3	2.666666667	"RED HAKE, ADULTS, >25 ppt"	MA	42.335	-70.9815	2.666666667	0.003643817
BOSTON HARBOR	ROCK GUNNEL	ADULTS	0.5-25 ppt	3	3	3	3	3	"ROCK GUNNEL, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	ROCK GUNNEL	ADULTS	>25 ppt	3	3	3	3	3	"ROCK GUNNEL, ADULTS, >25 ppt"	MA	42.335	-70.9815	3	0.004099294
BOSTON HARBOR	SCUP	ADULTS	0.5-25 ppt	0	0	0	0	0	"SCUP, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	SCUP	ADULTS	>25 ppt	0	0	2	0.666666667	0.666666667	"SCUP, ADULTS, >25 ppt"	MA	42.335	-70.9815	0.666666667	0.000910954
BOSTON HARBOR	SEA SCALLOP	ADULTS	0.5-25 ppt	0	0	0	0	0	"SEA SCALLOP, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	SEA SCALLOP	ADULTS	>25 ppt	2	2	2	2	2	"SEA SCALLOP, ADULTS, >25 ppt"	MA	42.335	-70.9815	2	0.002732863
BOSTON HARBOR	SEVENSPINE BAY SHRIMP	ADULTS	0.5-25 ppt	5	5	5	5	5	"SEVENSPINE BAY SHRIMP, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	SEVENSPINE BAY SHRIMP	ADULTS	>25 ppt	5	5	5	5	5	"SEVENSPINE BAY SHRIMP, ADULTS, >25 ppt"	MA	42.335	-70.9815	5	0.006832157
BOSTON HARBOR	SHORTHORN SCULPIN	ADULTS	0.5-25 ppt	0	0	0	0	0	"SHORTHORN SCULPIN, ADULTS, 0.5-25 ppt"	MA	42.335	-70.9815	0	0
BOSTON HARBOR	SHORTHORN SCULPIN	ADULTS	>25 ppt	2	2	2	2	2	"SHORTHORN SCULPIN, ADULTS, >25 ppt"	MA	42.335	-70.9815	2	0.002732863
