SITE	SPECIES	TOTAL	TYPE	PTOLR	NATIVE_MBSS	TROPHIC_MBSS	SILT	PIRHALLA	FIBISTRATA	ACREAGE	LEN_SAMP	AVWID	TOTBIOM	Index.Name
TMDB-635-R-1111	ROSYFACE SHINER	9	SHINER	NOTYPE	N	IV	Y	3.93	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	ROSYSIDE DACE	3	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	SMALLMOUTH BASS	10	NOTYPE	NOTYPE	IC	TP	N	3.77	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	WHITE SUCKER	99	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	TESSELLATED DARTER	25	DARTER	T	N	IV	N	1.8	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-635-R-1111	NORTHERN HOGSUCKER	9	SUCKER	I	N	IV	Y	3.81	EPIEDMONT	13587.41437	75	12.45	6740	MBSS.2005.Fish
TMDB-636-R-1111	CREEK CHUB	99	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	BLACKNOSE DACE	118	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	BLUNTNOSE MINNOW	8	OTHRCYPR	T	N	OM	N	2.24	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	CUTLIP MINNOW	16	OTHRCYPR	NOTYPE	N	IV	Y	3.83	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	FALLFISH	34	OTHRCYPR	I	N	GE	Y	2.51	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	LONGNOSE DACE	164	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	MARGINED MADTOM	1	MADTOM	I	IY	IV	N	3.52	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	NORTHERN HOGSUCKER	11	SUCKER	I	N	IV	Y	3.81	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	REDBREAST SUNFISH	1	SUNFISH	NOTYPE	IY	GE	N	2.11	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	ROSYSIDE DACE	26	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	SWALLOWTAIL SHINER	3	SHINER	NOTYPE	N	IV	Y	2	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	TESSELLATED DARTER	28	DARTER	T	N	IV	N	1.8	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	WHITE SUCKER	119	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	RIVER CHUB	23	OTHRCYPR	I	N	OM	Y	3.89	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	BLUE RIDGE SCULPIN	567	SCULPIN	I	N	IS	Y	0	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
TMDB-636-R-1111	SMALLMOUTH BASS	4	NOTYPE	NOTYPE	IC	TP	N	3.77	EPIEDMONT	12618.88632	75	16.325	3936	MBSS.2005.Fish
UTVD-438-R-1111	EASTERN MOSQUITOFISH	1	NOTYPE	NOTYPE	N	IV	N	0	EPIEDMONT	1732.897944	75	7.625	5414	MBSS.2005.Fish
UTVD-438-R-1111	SWALLOWTAIL SHINER	42	SHINER	NOTYPE	N	IV	Y	2	EPIEDMONT	1732.897944	75	7.625	5414	MBSS.2005.Fish
UTVD-438-R-1111	AMERICAN EEL	6	NOTYPE	NOTYPE	N	GE	N	1.43	EPIEDMONT	1732.897944	75	7.625	5414	MBSS.2005.Fish
UTVD-438-R-1111	CREEK CHUB	408	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	1732.897944	75	7.625	5414	MBSS.2005.Fish
UTVD-438-R-1111	WHITE SUCKER	54	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	1732.897944	75	7.625	5414	MBSS.2005.Fish
UTVD-438-R-1111	BLACKNOSE DACE	488	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	1732.897944	75	7.625	5414	MBSS.2005.Fish
UTVD-444-R-1111	BLACKNOSE DACE	89	OTHRCYPR	T	N	OM	N	1.81	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	TESSELLATED DARTER	21	DARTER	T	N	IV	N	1.8	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	CREEK CHUB	56	OTHRCYPR	T	N	GE	Y	1.87	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	AMERICAN EEL	1	NOTYPE	NOTYPE	N	GE	N	1.43	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	WHITE SUCKER	41	SUCKER	T	N	OM	Y	2.89	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	MUMMICHOG	8	NOTYPE	NOTYPE	N	IV	N	0.14	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	REDBREAST SUNFISH	9	SUNFISH	NOTYPE	IY	GE	N	2.11	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UTVD-444-R-1111	SWALLOWTAIL SHINER	8	SHINER	NOTYPE	N	IV	Y	2	COASTAL	1878.788736	75	4.5	535	MBSS.2005.Fish
UXED-432-R-1111	ROSYSIDE DACE	44	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-432-R-1111	CREEK CHUB	32	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-432-R-1111	BROWN TROUT	5	NOTYPE	NOTYPE	I	TP	Y	3.75	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-432-R-1111	AMERICAN EEL	3	NOTYPE	NOTYPE	N	GE	N	1.43	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-432-R-1111	BLUE RIDGE SCULPIN	57	SCULPIN	I	N	IS	Y	0	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-432-R-1111	BLACKNOSE DACE	123	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-432-R-1111	WHITE SUCKER	8	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	217.2794265	75	2.3	1019	MBSS.2005.Fish
UXED-636-R-1111	CUTLIP MINNOW	117	OTHRCYPR	NOTYPE	N	IV	Y	3.83	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	AMERICAN EEL	208	NOTYPE	NOTYPE	N	GE	N	1.43	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	BLACKNOSE DACE	264	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	BLUE RIDGE SCULPIN	895	SCULPIN	I	N	IS	Y	0	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	RIVER CHUB	240	OTHRCYPR	I	N	OM	Y	3.89	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	SPOTTAIL SHINER	38	SHINER	I	N	OM	Y	3.46	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	SWALLOWTAIL SHINER	79	SHINER	NOTYPE	N	IV	Y	2	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	COMMON SHINER	413	SHINER	I	N	OM	Y	3.83	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	TESSELLATED DARTER	164	DARTER	T	N	IV	N	1.8	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	CREEK CHUB	13	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	SEA LAMPREY	3	LAMPREY	I	N	FF	N	2.83	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	ROSYFACE SHINER	135	SHINER	NOTYPE	N	IV	Y	3.93	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	SMALLMOUTH BASS	8	NOTYPE	NOTYPE	IC	TP	N	3.77	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	REDBREAST SUNFISH	4	SUNFISH	NOTYPE	IY	GE	N	2.11	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	NORTHERN HOGSUCKER	98	SUCKER	I	N	IV	Y	3.81	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	MARGINED MADTOM	106	MADTOM	I	IY	IV	N	3.52	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	LONGNOSE DACE	615	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	CYPRINELLA SP.	65	SHINER	I	N	IV	N	0	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	WHITE SUCKER	347	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-636-R-1111	ROSYSIDE DACE	33	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	29557.56342	75	17.4	36577	MBSS.2005.Fish
UXED-638-R-1111	ROSYSIDE DACE	2	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	SEA LAMPREY	5	LAMPREY	I	N	FF	N	2.83	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	SMALLMOUTH BASS	9	NOTYPE	NOTYPE	IC	TP	N	3.77	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	SPOTTAIL SHINER	89	SHINER	I	N	OM	Y	3.46	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	SWALLOWTAIL SHINER	22	SHINER	NOTYPE	N	IV	Y	2	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	WHITE SUCKER	211	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	AMERICAN EEL	233	NOTYPE	NOTYPE	N	GE	N	1.43	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	TESSELLATED DARTER	103	DARTER	T	N	IV	N	1.8	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	ROSYFACE SHINER	32	SHINER	NOTYPE	N	IV	Y	3.93	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	RIVER CHUB	128	OTHRCYPR	I	N	OM	Y	3.89	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	REDBREAST SUNFISH	6	SUNFISH	NOTYPE	IY	GE	N	2.11	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	PUMPKINSEED	2	SUNFISH	T	IY	IV	N	-0.37	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	NOTROPIS SP.	2	OTHRCYPR	NOTYPE	NOTYPE	NOTYPE	NOTYPE	0	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	NORTHERN HOGSUCKER	112	SUCKER	I	N	IV	Y	3.81	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	MARGINED MADTOM	225	MADTOM	I	IY	IV	N	3.52	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	LONGNOSE DACE	159	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	LARGEMOUTH BASS	1	NOTYPE	T	IC	TP	N	1.55	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	CYPRINELLA SP.	40	SHINER	I	N	IV	N	0	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	CUTLIP MINNOW	146	OTHRCYPR	NOTYPE	N	IV	Y	3.83	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	CREEK CHUB	41	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	BLUE RIDGE SCULPIN	302	SCULPIN	I	N	IS	Y	0	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	BLUEGILL	3	SUNFISH	T	IC	IV	N	0.63	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	COMMON SHINER	244	SHINER	I	N	OM	Y	3.83	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UXED-638-R-1111	BLACKNOSE DACE	149	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	30649.52041	75	21.9	29419	MBSS.2005.Fish
UBKW-4310-R-1111	TESSELLATED DARTER	10	DARTER	T	N	IV	N	1.8	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	WHITE SUCKER	67	SUCKER	T	N	OM	Y	2.89	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	SWALLOWTAIL SHINER	17	SHINER	NOTYPE	N	IV	Y	2	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	ROSYSIDE DACE	149	OTHRCYPR	NOTYPE	N	IV	Y	3.04	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	LONGNOSE DACE	65	OTHRCYPR	NOTYPE	N	OM	N	3.72	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	LEAST BROOK LAMPREY	7	LAMPREY	NOTYPE	N	FF	N	-0.32	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	CREEK CHUB	108	OTHRCYPR	T	N	GE	Y	1.87	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	BLACKNOSE DACE	51	OTHRCYPR	T	N	OM	N	1.81	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UBKW-4310-R-1111	AMERICAN EEL	1	NOTYPE	NOTYPE	N	GE	N	1.43	EPIEDMONT	1306.790082	75	4.05	1972	MBSS.2005.Fish
UKXM-434-R-1111	CREEK CHUBSUCKER	2	SUCKER	NOTYPE	N	IV	N	-0.79	COASTAL	290.6696115	75	1.5	957	MBSS.2005.Fish
