"SAMPLEID"	"INDEX_NAME"	"INDEX_CLASS"	"transect_area_m2"	"ncol_total"	"lcol_total"	"nt_total"	"ncol_Acropora"	"ncol_AcroOrbi_m2"	"pcol_Acropora"	"nt_BCG_att123"	"nt_BCG_att1234"	"nt_BCG_att5"	"pt_BCG_att5"	"LCSA3D_samp_m2"	"LCSA3D_BCG_att1234_m2"	"LCSA3D_LRBC_m2"	"ncol_SmallWeedy"	"pcol_SmallWeedy"
"Samp7875"	"CORAL_TEST"	"CORAL_TEST"	20	9	2.19722457733622	6	0	0	0	2	5	1	16.6666666666667	73.4347282776614	66.4054147152543	56.8363198419606	6	66.6666666666667
"Samp7907"	"CORAL_TEST"	"CORAL_TEST"	20	68	4.21950770517611	11	0	0.05	0	2	7	3	27.2727272727273	485.75452871961	397.072276847292	177.640374849531	57	83.8235294117647
"Samp7953"	"CORAL_TEST"	"CORAL_TEST"	20	47	3.85014760171006	5	0	0.1	0	1	4	1	20	678.504491611351	329.735674434559	253.987948565692	43	91.4893617021277
"Samp8074"	"CORAL_TEST"	"CORAL_TEST"	20	26	3.25809653802148	7	0	0	0	1	5	2	28.5714285714286	119.092476059986	34.2600496351009	30.0709321810798	22	84.6153846153846
"Samp8083"	"CORAL_TEST"	"CORAL_TEST"	20	11	2.39789527279837	6	0	0	0	1	3	3	50	190.513541621467	53.0678812792092	40.2516558741192	8	72.7272727272727
"Samp8101"	"CORAL_TEST"	"CORAL_TEST"	20	4	1.38629436111989	3	0	0	0	0	1	2	66.6666666666667	205.786099782582	186.532063806894	186.532063806894	2	50
"Samp8139"	"CORAL_TEST"	"CORAL_TEST"	20	25	3.2188758248682	9	0	0	0	3	6	3	33.3333333333333	246.03284691818	211.270142458505	150.336989446723	17	68
"Samp8300"	"CORAL_TEST"	"CORAL_TEST"	20	12	2.484906649788	6	2	0.1	16.6666666666667	1	4	2	33.3333333333333	208.772968997983	145.208339439737	142.357344106605	9	75
"Samp8316"	"CORAL_TEST"	"CORAL_TEST"	20	13	2.56494935746154	3	0	0	0	0	2	1	33.3333333333333	88.5650311964316	35.6871180979941	35.6871180979941	9	69.2307692307692
"Samp8337"	"CORAL_TEST"	"CORAL_TEST"	20	45	3.80666248977032	8	0	0	0	2	4	4	50	542.462239612314	457.977940923355	327.324502072929	41	91.1111111111111
"Samp8338"	"CORAL_TEST"	"CORAL_TEST"	20	15	2.70805020110221	4	0	0	0	0	1	2	50	92.8998400097629	30.3428762951562	30.3428762951562	15	100
"Samp8497"	"CORAL_TEST"	"CORAL_TEST"	20	20	2.99573227355399	7	0	0	0	0	4	3	42.8571428571429	460.809203127633	270.072706602531	262.440599949716	16	80
